country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Antigua and Barbuda,Saint John's,17.12,-61.85,2024-06-21,86.2,10.5,70,50,7
Argentina,Buenos Aires,-34.59,-58.67,2024-06-21,59.7,3.8,100,100,4
Armenia,Yerevan,40.18,44.51,2024-06-21,91.9,2.2,20,25,8
Australia,Canberra,-35.28,149.22,2024-06-21,44.8,8.1,76,100,1
Austria,Vienna,48.2,16.37,2024-06-21,88,15,59,75,8
Azerbaijan,Baku,40.4,49.88,2024-06-21,86.4,16.1,40,37,7
Bahamas,Nassau,25.08,-77.35,2024-06-21,86.5,13.6,75,75,6
Bahrain,Manama,26.24,50.58,2024-06-21,106.3,5.6,34,0,9
Bangladesh,Dhaka,23.72,90.41,2024-06-21,84.4,10.3,77,77,1
Barbados,Bridgetown,13.1,-59.62,2024-06-21,86.4,19.2,75,25,7
Belarus,Minsk,53.9,27.57,2024-06-21,75.7,18.6,39,0,6
Belgium,Brussels,50.83,4.33,2024-06-21,61.2,10.5,88,75,3
Belize,Belmopan,17.25,-88.77,2024-06-21,79.2,4.3,94,75,5
Benin,Porto-Novo,6.48,2.62,2024-06-21,86.4,11.9,75,50,6
Bhutan,Thimphu,27.48,89.6,2024-06-21,56.4,2.2,95,74,1
Bolivia,Sucre,-19.04,-65.26,2024-06-21,58.4,2.2,34,9,5
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2024-06-21,91.8,5.6,41,0,8
Botswana,Gaborone,-24.65,25.91,2024-06-21,72.3,9.4,41,0,7
Brazil,Bras,-2.08,-58.17,2024-06-21,84.7,4.5,65,17,8
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2024-06-21,79.5,3.8,100,75,1
Bulgaria,Sofia,42.68,23.32,2024-06-21,91.8,3.8,34,0,8
Burkina Faso,Ouagadougou,12.37,-1.52,2024-06-21,97.7,9.8,34,25,9
Burundi,Bujumbura,-3.38,29.36,2024-06-21,90.3,4.3,34,25,6
Madagascar,Ivory,-24.37,46.45,2024-06-21,80,6.7,34,13,8
Cape Verde,Praia,14.93,-23.51,2024-06-21,80.8,21.7,58,25,6
Cambodia,Phnom Penh,11.55,104.92,2024-06-21,84.7,5.6,84,50,1
Cameroon,Ngaoundere,7.32,13.58,2024-06-21,83.1,9.4,70,50,8
Canada,Ottawa,45.42,-75.7,2024-06-21,70.3,9.4,64,75,5
Central African Republic,Bangui,4.37,18.58,2024-06-21,93.7,2.2,53,50,9
Chad,N'djamena,12.11,15.05,2024-06-21,97.3,9.4,42,0,9
Chile,Santiago,-33.45,-70.67,2024-06-21,44.8,10.5,100,100,3
China,Beijing,39.93,116.39,2024-06-21,70.2,2.5,94,0,1
Bulgaria,Bogot,43.32,24.7,2024-06-21,95.8,7.4,31,12,9
Comoros,Moroni,-11.7,43.24,2024-06-21,77.7,17.9,71,72,7
Congo,Brazzaville,-4.26,15.28,2024-06-21,75.6,4.3,78,100,10
Costa Rica,San Ignacio,9.8,-84.17,2024-06-21,72.1,2.5,78,0,4
Cuba,Havana,23.13,-82.36,2024-06-21,81.1,8.1,89,75,7
Cyprus,Nicosia,35.17,33.37,2024-06-21,97.3,10.5,33,25,8
Czech Republic,Prague,50.08,14.47,2024-06-21,86.7,8.1,55,0,7
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2024-06-21,75.6,4.3,78,100,10
Djibouti,Djibouti,11.6,43.15,2024-06-21,113,13.6,28,50,8
Dominica,Roseau,15.3,-61.4,2024-06-21,84.7,3.8,70,50,6
Dominican Republic,Santo Domingo,18.47,-69.9,2024-06-21,82.9,6.9,84,75,6
Ecuador,Quito,-0.22,-78.5,2024-06-21,51.6,2.9,92,52,4
Egypt,Cairo,30.05,31.25,2024-06-21,97.5,11.9,25,0,9
El Salvador,San Salvador,13.71,-89.2,2024-06-21,73.8,2.2,100,100,5
Equatorial Guinea,Malabo,3.75,8.78,2024-06-21,82.6,2.2,94,75,6
Eritrea,Asmara,15.33,38.93,2024-06-21,78.2,6.9,31,13,7
Estonia,Tallinn,59.43,24.73,2024-06-21,66.4,19.2,46,0,5
Swaziland,Mbabane,-26.32,31.13,2024-06-21,68.4,7.2,41,9,7
Ethiopia,Addis Ababa,9.03,38.7,2024-06-21,72.1,169.1,57,75,4
Fiji Islands,Suva,-18.13,178.42,2024-06-22,73.6,6.9,73,75,1
Finland,Helsinki,60.18,24.93,2024-06-21,70,13.6,33,0,5
France,Paris,48.87,2.33,2024-06-21,69.8,5.6,69,75,4
Gabon,Libreville,0.38,9.45,2024-06-21,80.8,4.3,79,75,7
Gambia,Banjul,13.45,-16.58,2024-06-21,89.8,5.6,59,0,7
Germany,Berlin,52.52,13.4,2024-06-21,80.8,3.8,58,37,5
Ghana,Accra,5.55,-0.22,2024-06-21,84.2,17.4,70,25,6
Greece,Athens,37.98,23.72,2024-06-21,97,15,24,0,8
Grenada,Saint George's,12.05,-61.75,2024-06-21,86.4,19.2,70,25,7
Guatemala,Guatemala City,14.62,-90.53,2024-06-21,63.3,6.9,94,100,4
Guinea,Conakry,9.51,-13.71,2024-06-21,88.2,4.3,66,75,6
Guinea-Bissau,Bissau,11.85,-15.58,2024-06-21,91.8,4.3,59,50,7
Guyana,Georgetown,6.8,-58.17,2024-06-21,84.7,4.3,79,75,5
Haiti,Port-Au-Prince,18.54,-72.34,2024-06-21,88.5,17.4,66,50,7
Vatican City,Vatican City,41.9,12.45,2024-06-21,97.3,9.4,22,0,7
Honduras,Tegucigalpa,14.1,-87.22,2024-06-21,68.5,3.8,94,75,4
Hungary,Budapest,47.5,19.08,2024-06-21,90,8.1,41,0,8
Iceland,Vestmannaeyjar,63.37,-20.21,2024-06-21,48.2,20.6,87,100,2
India,New Delhi,28.6,77.2,2024-06-21,88,4.3,63,50,1
Indonesia,Jakarta,-6.21,106.85,2024-06-21,81,4.3,79,25,1
Iran,Tehran,35.73,51.33,2024-06-21,95.7,13.6,10,25,8
Iraq,Baghdad,33.34,44.39,2024-06-21,119.1,10.5,8,0,11
Ireland,Dublin,53.33,-6.25,2024-06-21,63,16.1,68,75,3
Israel,Jerusalem,31.78,35.23,2024-06-21,89.6,11.9,43,0,7
Italy,Rome,41.9,12.48,2024-06-21,97.3,9.4,22,0,7
Jamaica,Port Royal,17.93,-76.85,2024-06-21,88.2,18.6,63,0,7
Japan,Tokyo,35.69,139.69,2024-06-21,70,11.9,78,75,1
Jordan,Amman,31.95,35.93,2024-06-21,93.6,11.9,16,0,8
Kazakhstan,Astana,51.18,71.43,2024-06-21,79.2,11.9,45,37,6
Kenya,Nairobi,-1.28,36.82,2024-06-21,71.8,13.6,50,75,6
Kiribati,Tarawa,-0.88,169.53,2024-06-22,83.7,6.3,71,65,1
Kuwait,Kuwait City,29.37,47.96,2024-06-21,117,2.2,11,0,10
Kyrghyzstan,Bishkek,42.87,74.6,2024-06-21,77.7,11.6,44,82,6
Indonesia,Laos,-8.18,114.32,2024-06-21,64.6,2.2,87,2,1
Latvia,Riga,56.95,24.1,2024-06-21,72.1,4.3,50,0,5
Lebanon,Beirut,33.87,35.51,2024-06-21,84.7,5.6,66,75,7
Lesotho,Maseru,-29.32,27.48,2024-06-21,63.7,11,34,13,6
Thailand,Nan,18.78,100.78,2024-06-21,86.4,2.2,84,25,1
Liechtenstein,Vaduz,47.13,9.52,2024-06-21,64.6,4.3,94,25,4
Lithuania,Vilnius,54.68,25.32,2024-06-21,71.8,12.5,38,0,6
Luxembourg,Luxembourg,49.61,6.13,2024-06-21,68.2,16.1,78,75,4
Madagascar,Antananarivo,-18.92,47.52,2024-06-21,66.4,12.5,60,50,6
Malawi,Lilongwe,-13.98,33.78,2024-06-21,75.7,9.4,41,75,7
Malaysia,Kuala Lumpur,3.17,101.7,2024-06-21,82.9,2.2,74,25,1
Maldives,Dhidhdhoo,6.88,73.1,2024-06-21,83.8,19,81,68,6
Mali,Bamako,12.65,-8,2024-06-21,95.5,5.6,47,25,9
Malta,Valletta,35.9,14.51,2024-06-21,95.4,9.4,28,0,7
Marshall Islands,Majuro,7.1,171.38,2024-06-22,79,4.3,89,100,1
Mauritania,Nouakchott,18.09,-15.98,2024-06-21,93,12.1,28,10,8
Mauritius,Port Louis,-20.16,57.5,2024-06-21,73.9,8.1,73,50,6
Mexico,Mexico City,19.43,-99.13,2024-06-21,62.6,13.6,72,100,4
Micronesia,Palikir,6.92,158.15,2024-06-22,79.2,2.2,94,100,1
Iran,Chi Chi Khvar,36.26,46.59,2024-06-21,85.2,5.6,19,44,7
Monaco,Monaco,43.73,7.42,2024-06-21,77.2,15,79,25,5
Mongolia,Ulaanbaatar,47.92,106.92,2024-06-21,41.5,19.2,81,75,1
Montenegro,Podgorica,42.44,19.26,2024-06-21,100.8,8.1,27,0,8
Morocco,Rabat,34.03,-6.84,2024-06-21,75.7,16.1,57,0,6
Mozambique,Maputo,-25.97,32.59,2024-06-21,75.4,6.9,65,50,7
Myanmar,Yangon,16.78,96.17,2024-06-21,80.8,5.6,89,100,1
Turkey,Yaren,39.55,27.62,2024-06-21,91.9,31.1,39,0,8
Nepal,Kathmandu,27.72,85.32,2024-06-21,79,5.6,74,25,1
Netherlands,Amsterdam,52.37,4.89,2024-06-21,63,8.1,88,75,4
New Zealand,Wellington,-41.3,174.78,2024-06-22,43.3,3.8,87,0,1
Nicaragua,Managua,12.15,-86.27,2024-06-21,77.4,2.2,94,50,5
Niger,Niamey,13.52,2.12,2024-06-21,90.1,11.9,38,0,9
Nigeria,Abuja,9.18,7.18,2024-06-21,84.6,8.1,62,25,7
North Korea,Pyongyang,39.02,125.75,2024-06-21,75.1,2.2,57,5,1
Macedonia,Skopje,42,21.43,2024-06-21,102.4,4.3,24,0,9
Norway,Oslo,59.92,10.75,2024-06-21,55.8,36.7,88,0,6
Oman,Muscat,23.61,58.59,2024-06-21,99,6.9,60,0,9
Pakistan,Islamabad,33.7,73.17,2024-06-21,85.5,11.9,40,71,6
Palau,Koror,7.33,134.48,2024-06-21,79.3,3.8,89,75,1
Bolivia,National,-11.18,-67.08,2024-06-21,83.6,2.2,55,13,8
Panama,Panama City,8.97,-79.53,2024-06-21,80.6,3.8,89,25,6
Papua New Guinea,Port Moresby,-9.46,147.19,2024-06-21,79.2,11.9,84,50,1
Paraguay,Aurora,-23.43,-61.33,2024-06-21,82.9,13.6,49,1,8
Peru,Lima,-12.05,-77.05,2024-06-21,61.8,4.9,86,44,6
Philippines,Manila,14.6,120.98,2024-06-21,82.8,4.3,89,50,1
Poland,Warsaw,52.25,21,2024-06-21,81,2.2,39,0,7
Portugal,Lisbon,38.72,-9.13,2024-06-21,75.9,12.5,54,25,6
Qatar,Doha,25.29,51.53,2024-06-21,102.7,8.1,38,0,9
Romania,Bucharest,44.43,26.1,2024-06-21,88.3,2.2,36,0,8
Russia,Moscow,55.75,37.62,2024-06-21,70.2,13.6,43,0,5
Rwanda,Kigali,-1.95,30.06,2024-06-21,77,6.9,44,50,6
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2024-06-21,84.9,12.5,84,50,6
Saint Lucia,Castries,14,-61,2024-06-21,86,10.5,75,75,6
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2024-06-21,86.5,20.6,70,50,7
Samoa,Apia,-13.83,-171.73,2024-06-22,77.4,3.8,94,50,1
San Marino,San Marino,43.93,12.45,2024-06-21,81.1,10.5,74,50,7
Belgium,'S Gravenjansdijk,51.25,3.63,2024-06-21,61.5,5.6,94,50,4
Saudi Arabia,Riyadh,24.64,46.77,2024-06-21,113.5,19.2,4,0,10
Senegal,Dakar,14.67,-17.44,2024-06-21,82.6,11.9,74,50,7
Serbia,Belgrade,44.8,20.47,2024-06-21,95.5,8.1,42,0,9
Seychelles Islands,Victoria,-4.62,55.45,2024-06-21,84.2,13.6,75,25,8
Singapore,Singapore,1.29,103.86,2024-06-21,84.6,9.4,75,75,1
Slovakia,Bratislava,48.15,17.12,2024-06-21,88.3,9.4,59,0,8
Slovenia,Ljubljana,46.06,14.51,2024-06-21,82.9,4.3,70,75,8
Solomon Islands,Honiara,-9.43,159.95,2024-06-22,77,2.2,94,50,1
Somalia,Mogadishu,2.07,45.37,2024-06-21,84.6,18.6,75,50,6
South Africa,Pretoria,-25.75,28.19,2024-06-21,66.7,6.9,30,0,6
South Korea,Seoul,37.57,127,2024-06-21,75.6,5.6,78,0,1
Sudan,Juba,12.15,24.45,2024-06-21,94.3,4.5,30,11,8
Spain,Madrid,40.4,-3.68,2024-06-21,77.2,5.6,34,25,7
Sri Lanka,Colombo,6.93,79.85,2024-06-21,84.7,10.5,79,50,1
Sudan,Khartoum,15.59,32.53,2024-06-21,104.3,11.6,21,26,9
Sweden,Stockholm,59.33,18.05,2024-06-21,70.2,10.5,49,0,5
Switzerland,Bern,46.92,7.47,2024-06-21,64.4,5.6,94,50,4
Syria,Damascus,33.5,36.3,2024-06-21,102.4,20.6,10,0,9
Tajikistan,Dushanbe,38.56,68.77,2024-06-21,83.1,11.9,48,25,5
Tanzania,Dodoma,-6.18,35.75,2024-06-21,75.7,17.4,50,25,8
Thailand,Bangkok,13.75,100.52,2024-06-21,86.5,8.1,75,25,1
Timor-Leste,Dili,-8.56,125.57,2024-06-21,74.9,6.7,74,10,1
Russia,Lom,59.13,44.3,2024-06-21,63.2,10.1,62,53,4
Tonga,Nuku`Aloia,-21.13,-175.2,2024-06-22,71.8,5.6,69,25,1
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2024-06-21,86.7,11.9,75,50,7
Tunisia,Tunis,36.8,10.18,2024-06-21,90.3,16.1,41,0,8
Turkey,Ankara,39.93,32.86,2024-06-21,90,12.5,26,25,7
Turkmenistan,Ashgabat,37.95,58.38,2024-06-21,93.4,16.1,30,75,7
Tuvalu,Funafuti,-8.52,179.22,2024-06-22,82.4,6.9,94,50,1
Uganda,Kampala,0.32,32.57,2024-06-21,78.8,16.1,65,25,7
Ukraine,Kyiv,50.43,30.52,2024-06-21,76,10.5,44,30,6
United Arab Emirates,Abu Dhabi,24.47,54.37,2024-06-21,98.8,12.5,57,0,8
United Kingdom,London,51.52,-0.11,2024-06-21,75.2,12.5,41,0,5
United States of America,Washington Harbor,48.08,-123.04,2024-06-21,55.6,4.3,91,0,3
Uruguay,Montevideo,-34.86,-56.17,2024-06-21,59.2,16.1,94,100,4
Uzbekistan,Tashkent,41.32,69.25,2024-06-21,95.4,6.9,22,25,8
Vanuatu,Port Vila,-17.73,168.32,2024-06-22,73.9,5.6,89,75,1
Venezuela,Caracas,10.5,-66.92,2024-06-21,74.6,6.9,79,75,5
Vietnam,Hanoi,21.03,105.85,2024-06-21,86,8.1,89,25,1
Yemen,Sanaa,15.35,44.21,2024-06-21,79.9,2.2,29,89,6
Zambia,Lusaka,-15.42,28.28,2024-06-21,77,9.4,30,23,8
Zimbabwe,Harare,-17.82,31.04,2024-06-21,74.7,6.9,20,3,7
Afghanistan,Kabul,34.52,69.18,2024-06-22,78.6,10.1,27,26,7
Albania,Tirana,41.33,19.82,2024-06-22,95.4,10.5,44,0,8
Algeria,Algiers,36.76,3.05,2024-06-22,82.8,12.5,40,0,7
Andorra,Andorra La Vella,42.5,1.52,2024-06-22,63.7,5.6,54,55,4
Angola,Luanda,-8.84,13.23,2024-06-22,78.8,9.4,70,50,7
Antigua and Barbuda,Saint John's,17.12,-61.85,2024-06-22,86.7,11.9,70,25,1
Argentina,Buenos Aires,-34.59,-58.67,2024-06-22,64.9,5.6,94,100,5
Armenia,Yerevan,40.18,44.51,2024-06-22,90.1,6.9,16,25,8
Australia,Canberra,-35.28,149.22,2024-06-22,30.9,2.2,100,0,1
Austria,Vienna,48.2,16.37,2024-06-22,77.5,16.1,51,25,7
Azerbaijan,Baku,40.4,49.88,2024-06-22,82.9,11.9,45,25,7
Bahamas,Nassau,25.08,-77.35,2024-06-22,86.7,12.5,70,50,7
Bahrain,Manama,26.24,50.58,2024-06-22,102.9,11.9,43,0,9
Bangladesh,Dhaka,23.72,90.41,2024-06-22,87,8.5,72,53,1
Barbados,Bridgetown,13.1,-59.62,2024-06-22,86,17.4,84,50,1
Belarus,Minsk,53.9,27.57,2024-06-22,72,6.9,53,0,6
Belgium,Brussels,50.83,4.33,2024-06-22,64.6,5.6,68,25,3
Belize,Belmopan,17.25,-88.77,2024-06-22,86.5,4.3,94,50,5
Benin,Porto-Novo,6.48,2.62,2024-06-22,86.5,13.6,75,50,6
Bhutan,Thimphu,27.48,89.6,2024-06-22,56.8,2.2,94,83,1
Bolivia,Sucre,-19.04,-65.26,2024-06-22,58.3,4.9,20,0,5
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2024-06-22,95.7,10.5,28,0,8
Botswana,Gaborone,-24.65,25.91,2024-06-22,73.9,6.9,33,0,7
Brazil,Bras,-2.08,-58.17,2024-06-22,86.9,3.6,58,12,9
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2024-06-22,79,4.3,100,75,1
Bulgaria,Sofia,42.68,23.32,2024-06-22,93.2,9.4,26,0,8
Burkina Faso,Ouagadougou,12.37,-1.52,2024-06-22,93.2,6.9,60,0,9
Burundi,Bujumbura,-3.38,29.36,2024-06-22,86.5,13.6,40,25,7
Madagascar,Ivory,-24.37,46.45,2024-06-22,75.9,9.2,44,46,7
Cape Verde,Praia,14.93,-23.51,2024-06-22,82.9,19.2,58,25,6
Cambodia,Phnom Penh,11.55,104.92,2024-06-22,83.1,10.5,84,75,1
Cameroon,Ngaoundere,7.32,13.58,2024-06-22,81,2.7,58,84,6
Canada,Ottawa,45.42,-75.7,2024-06-22,66.4,6.9,83,100,4
Central African Republic,Bangui,4.37,18.58,2024-06-22,93.7,6.9,56,50,8
Chad,N'djamena,12.11,15.05,2024-06-22,104.2,10.5,36,50,9
Chile,Santiago,-33.45,-70.67,2024-06-22,46.8,10.5,87,100,3
Bulgaria,Bogot,43.32,24.7,2024-06-22,94,11,31,0,8
Comoros,Moroni,-11.7,43.24,2024-06-22,77.2,18.6,74,72,7
Congo,Brazzaville,-4.26,15.28,2024-06-22,84.4,5.6,62,75,10
Costa Rica,San Ignacio,9.8,-84.17,2024-06-22,71.8,2.2,73,0,5
Croatia,Zagreb,45.8,16,2024-06-22,80.8,19.2,51,25,6
Cuba,Havana,23.13,-82.36,2024-06-22,79,4.3,94,75,6
Cyprus,Nicosia,35.17,33.37,2024-06-22,91.8,16.1,41,50,8
Czech Republic,Prague,50.08,14.47,2024-06-22,71.8,11.9,46,0,6
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2024-06-22,84.4,5.6,62,75,10
Denmark,Copenhagen,55.67,12.58,2024-06-22,63.1,17.4,88,100,3
Djibouti,Djibouti,11.6,43.15,2024-06-22,97.8,11.6,46,7,9
Dominica,Roseau,15.3,-61.4,2024-06-22,91.4,2.5,56,25,6
Dominican Republic,Santo Domingo,18.47,-69.9,2024-06-22,80.8,4.3,89,75,7
Ecuador,Quito,-0.22,-78.5,2024-06-22,55,2.9,62,6,5
Egypt,Cairo,30.05,31.25,2024-06-22,97.5,11.9,27,0,9
El Salvador,San Salvador,13.71,-89.2,2024-06-22,79.3,6.9,89,25,5
Equatorial Guinea,Malabo,3.75,8.78,2024-06-22,86,2.2,79,50,6
Eritrea,Asmara,15.33,38.93,2024-06-22,78.5,8.9,38,72,6
Estonia,Tallinn,59.43,24.73,2024-06-22,68.2,8.1,43,0,5
Swaziland,Mbabane,-26.32,31.13,2024-06-22,72.4,9.2,19,0,7
Ethiopia,Addis Ababa,9.03,38.7,2024-06-22,61,9.4,88,100,4
Fiji Islands,Suva,-18.13,178.42,2024-06-23,73.9,9.4,78,75,1
Finland,Helsinki,60.18,24.93,2024-06-22,70.2,12.5,40,0,5
France,Paris,48.87,2.33,2024-06-22,70.3,12.5,64,100,4
Gabon,Libreville,0.38,9.45,2024-06-22,82.8,6.9,66,25,7
Gambia,Banjul,13.45,-16.58,2024-06-22,92.1,11.9,56,75,7
Georgia,Tbilisi,41.73,44.79,2024-06-22,84.7,19.2,27,0,7
Germany,Berlin,52.52,13.4,2024-06-22,74.1,19.2,50,50,5
Ghana,Accra,5.55,-0.22,2024-06-22,88,10.5,66,25,6
Greece,Athens,37.98,23.72,2024-06-22,95,11.9,27,0,8
Grenada,Saint George's,12.05,-61.75,2024-06-22,80.8,2.2,89,25,6
Guatemala,Guatemala City,14.62,-90.53,2024-06-22,62.8,9.4,98,100,4
Guinea,Conakry,9.51,-13.71,2024-06-22,79.3,6.9,89,75,6
Guinea-Bissau,Bissau,11.85,-15.58,2024-06-22,81.1,4.3,74,25,7
Guyana,Georgetown,6.8,-58.17,2024-06-22,80.6,2.2,89,75,6
Haiti,Port-Au-Prince,18.54,-72.34,2024-06-22,88,11.9,63,75,7
Vatican City,Vatican City,41.9,12.45,2024-06-22,86.4,13.6,38,0,7
Honduras,Tegucigalpa,14.1,-87.22,2024-06-22,68.4,2.2,88,75,5
Hungary,Budapest,47.5,19.08,2024-06-22,79.3,12.5,65,75,7
Iceland,Vestmannaeyjar,63.37,-20.21,2024-06-22,46.4,19.2,100,100,2
India,New Delhi,28.6,77.2,2024-06-22,93.9,11.9,53,50,1
Indonesia,Jakarta,-6.21,106.85,2024-06-22,80.8,9.4,79,50,1
Iran,Tehran,35.73,51.33,2024-06-22,91.1,7.4,15,6,8
Iraq,Baghdad,33.34,44.39,2024-06-22,120.4,6.9,8,25,11
Ireland,Dublin,53.33,-6.25,2024-06-22,65.1,8.1,60,75,4
Israel,Jerusalem,31.78,35.23,2024-06-22,86.2,12.5,59,25,7
Italy,Rome,41.9,12.48,2024-06-22,86.4,13.6,38,0,7
Jamaica,Port Royal,17.93,-76.85,2024-06-22,88.5,3.8,66,0,7
Japan,Tokyo,35.69,139.69,2024-06-22,77.4,18.6,51,75,1
Jordan,Amman,31.95,35.93,2024-06-22,88,18.6,31,25,8
Kazakhstan,Astana,51.18,71.43,2024-06-22,82.8,6.9,35,0,7
Kenya,Nairobi,-1.28,36.82,2024-06-22,72,11.9,46,75,7
Kiribati,Tarawa,-0.88,169.53,2024-06-23,83.6,11.4,73,67,1
Kuwait,Kuwait City,29.37,47.96,2024-06-22,118,2.2,8,0,10
Kyrghyzstan,Bishkek,42.87,74.6,2024-06-22,84.3,7.4,33,84,6
Indonesia,Laos,-8.18,114.32,2024-06-22,67.3,4,92,73,1
Latvia,Riga,56.95,24.1,2024-06-22,75.7,8.1,47,0,6
Lebanon,Beirut,33.87,35.51,2024-06-22,84.7,11.9,62,25,6
Lesotho,Maseru,-29.32,27.48,2024-06-22,64.7,8.5,31,3,6
Liberia,Monrovia,6.31,-10.8,2024-06-22,82.9,8.1,84,75,6
Thailand,Nan,18.78,100.78,2024-06-22,90.3,4.3,67,25,1
Liechtenstein,Vaduz,47.13,9.52,2024-06-22,61.5,12.5,94,75,3
Lithuania,Vilnius,54.68,25.32,2024-06-22,70.2,9.4,69,0,6
Luxembourg,Luxembourg,49.61,6.13,2024-06-22,57.2,10.5,94,75,3
Madagascar,Antananarivo,-18.92,47.52,2024-06-22,65.1,13.6,56,75,6
Malawi,Lilongwe,-13.98,33.78,2024-06-22,77.4,5.4,29,14,8
Malaysia,Kuala Lumpur,3.17,101.7,2024-06-22,83.1,5.6,79,25,1
Maldives,Dhidhdhoo,6.88,73.1,2024-06-22,83.4,17.4,81,54,6
Mali,Bamako,12.65,-8,2024-06-22,86.4,2.2,59,25,9
Malta,Valletta,35.9,14.51,2024-06-22,93.4,4.3,44,0,7
Marshall Islands,Majuro,7.1,171.38,2024-06-23,82.9,5.6,84,100,1
Mauritania,Nouakchott,18.09,-15.98,2024-06-22,92.8,8.3,29,15,8
Mauritius,Port Louis,-20.16,57.5,2024-06-22,72.3,15,83,50,6
Mexico,Mexico City,19.43,-99.13,2024-06-22,59.2,8.1,82,75,1
Micronesia,Palikir,6.92,158.15,2024-06-23,80.6,4.3,89,100,1
Iran,Chi Chi Khvar,36.26,46.59,2024-06-22,89.9,22.1,12,2,8
Monaco,Monaco,43.73,7.42,2024-06-22,75.7,9.4,65,75,6
Mongolia,Ulaanbaatar,47.92,106.92,2024-06-22,50.4,6.9,82,50,1
Montenegro,Podgorica,42.44,19.26,2024-06-22,98.8,8.1,35,0,8
Morocco,Rabat,34.03,-6.84,2024-06-22,77.4,10.5,69,0,6
Mozambique,Maputo,-25.97,32.59,2024-06-22,82.8,4.3,42,0,8
Myanmar,Yangon,16.78,96.17,2024-06-22,81,3.8,94,75,1
Namibia,Windhoek,-22.57,17.08,2024-06-22,75.2,11.9,21,0,7
Turkey,Yaren,39.55,27.62,2024-06-22,88.5,23,41,0,8
Nepal,Kathmandu,27.72,85.32,2024-06-22,79.3,6.9,79,50,1
Netherlands,Amsterdam,52.37,4.89,2024-06-22,68.5,10.5,64,25,5
New Zealand,Wellington,-41.3,174.78,2024-06-23,54.3,10.5,77,100,1
Nicaragua,Managua,12.15,-86.27,2024-06-22,78.8,4.3,94,37,7
Niger,Niamey,13.52,2.12,2024-06-22,99.3,11.9,33,0,9
Nigeria,Abuja,9.18,7.18,2024-06-22,90.1,5.6,63,50,8
North Korea,Pyongyang,39.02,125.75,2024-06-22,70.8,3.4,84,100,1
Macedonia,Skopje,42,21.43,2024-06-22,102.6,4.3,30,0,9
Norway,Oslo,59.92,10.75,2024-06-22,57.4,24.2,88,0,3
Oman,Muscat,23.61,58.59,2024-06-22,100.4,17.4,45,0,9
Pakistan,Islamabad,33.7,73.17,2024-06-22,95.8,8.9,21,5,9
Palau,Koror,7.33,134.48,2024-06-22,80.8,4.3,89,100,1
Bolivia,National,-11.18,-67.08,2024-06-22,80.5,4,52,15,8
Panama,Panama City,8.97,-79.53,2024-06-22,81,2.2,89,50,7
Papua New Guinea,Port Moresby,-9.46,147.19,2024-06-22,79.2,11.9,84,75,1
Paraguay,Aurora,-23.43,-61.33,2024-06-22,81.4,8.9,49,2,8
Peru,Lima,-12.05,-77.05,2024-06-22,61.9,4.5,87,58,5
Philippines,Manila,14.6,120.98,2024-06-22,83.1,3.8,94,50,1
Poland,Warsaw,52.25,21,2024-06-22,79.2,11.9,58,50,6
Portugal,Lisbon,38.72,-9.13,2024-06-22,82.8,17.4,40,0,7
Qatar,Doha,25.29,51.53,2024-06-22,98.8,9.4,48,0,9
Romania,Bucharest,44.43,26.1,2024-06-22,93.4,8.1,30,0,9
Russia,Moscow,55.75,37.62,2024-06-22,72.1,16.1,41,75,6
Rwanda,Kigali,-1.95,30.06,2024-06-22,75.4,9.4,47,50,8
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2024-06-22,88.5,13.6,66,25,6
Saint Lucia,Castries,14,-61,2024-06-22,86.4,10.5,75,75,6
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2024-06-22,81.5,16.1,84,79,1
Samoa,Apia,-13.83,-171.73,2024-06-23,84.2,10.5,84,75,1
San Marino,San Marino,43.93,12.45,2024-06-22,81.3,10.5,45,25,7
Belgium,'S Gravenjansdijk,51.25,3.63,2024-06-22,61.3,11.9,88,100,4
Saudi Arabia,Riyadh,24.64,46.77,2024-06-22,113.7,19.2,4,0,10
Senegal,Dakar,14.67,-17.44,2024-06-22,84.4,6.9,70,50,7
Serbia,Belgrade,44.8,20.47,2024-06-22,99.1,11.9,35,0,8
Seychelles Islands,Victoria,-4.62,55.45,2024-06-22,82.4,18.6,74,25,8
Sierra Leone,Freetown,8.49,-13.23,2024-06-22,84.4,12.5,75,75,6
Singapore,Singapore,1.29,103.86,2024-06-22,80.6,2.5,74,75,1
Slovakia,Bratislava,48.15,17.12,2024-06-22,79,11.9,51,75,7
Slovenia,Ljubljana,46.06,14.51,2024-06-22,82.8,17.4,51,25,5
Solomon Islands,Honiara,-9.43,159.95,2024-06-23,78,5.6,87,87,1
